DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6008	P220	P5785	P5465	P6050	P605	P6160	P8586	P6210	P6210S1	P6945	FEX_P
18700	252	1	1		2	36	5	1	2	1	2	5	2	1	1001.5795133
18700	252	1	2		1	46	5	2	2	1	2	4	3	1	1001.5795133
18700	252	1	3		1	7									1001.5795133
18700	252	1	4	4	2	5									1001.5795133
18701	252	1	1		2	40	5	1	3	1	2	6	5	5	855.86810656
18701	252	1	2		1	41	6	2	3	1	2	5	2	5	855.86810656
18701	252	1	3		2	13									855.86810656
18701	252	1	4	4	2	22	6	5	6	1	1	6	3	1	855.86810656
18702	252	1	1		2	27	6	1	2	1	2	5	2	1	954.30553345
18702	252	1	2		1	26	6	2	2	1	2	5	2	1	954.30553345
18702	252	1	3	3	2	5									954.30553345
18703	252	1	2		1	25	6	3	6	1	2	5	2	1	1009.1668687
18703	252	1	3	3	1	14									1009.1668687
18703	252	1	1		2	40	5	1	5	1	2	6	5	1	1009.1668687
18704	252	1	1		2	48	6	1	3	1	2	4	4	1	1147.8777208
18704	252	1	2		1	54	6	2	3	1	2	5	2	1	1147.8777208
18704	252	1	3		1	18	6	3	6	1	2	5	2	1	1147.8777208
18704	252	1	4	4	2	15									1147.8777208
18705	252	1	1		1	35	6	1	2	1	2	5	2	1	946.71817803
18705	252	1	2		2	30	6	2	2	1	2	6	2	1	946.71817803
18705	252	1	3		2	8									946.71817803
18705	252	1	4	4	2	0									946.71817803
18706	252	1	1		2	30	6	1	4	1	2	6	3	1	760.73334609
18706	252	1	2	2	2	10									760.73334609
18707	252	1	1		2	33	6	1	2	1	2	4	5	5	1001.5795133
18707	252	1	2		1	31	6	2	2	1	2	5	2	5	1001.5795133
18707	252	1	3		2	11									1001.5795133
18707	252	1	4	4	1	8									1001.5795133
18708	252	1	1		1	30	6	1	2	1	2	5	1	1	954.30553345
18708	252	1	2		2	28	6	2	2	1	2	5	1	1	954.30553345
18708	252	1	3	3	2	8									954.30553345
18709	252	1	1	1	2	35	6	1	4	1	2	7	3	1	768.32070151
18710	252	1	1		1	25	7	1	2	1	2	3	6	1	868.2249184
18710	252	1	2		2	24	6	2	2	1	2	5	2	1	868.2249184
18710	252	1	3	3	1	0									868.2249184
18711	252	1	1		2	45	99	1	2	1	2	3	6	1	869.93458268
18711	252	1	2		1	50	6	2	2	1	2	4	2	1	869.93458268
18711	252	1	3		1	19	6	3	6	1	2	5	2	1	869.93458268
18711	252	1	4	4	2	17									869.93458268
18712	252	1	1		2	61	6	1	4	1	2	6	5	4	586.67219523
18712	252	1	2		2	28	6	3	6	1	2	6	5	1	586.67219523
18712	252	1	3		1	15									586.67219523
18712	252	1	4		2	12									586.67219523
18712	252	1	5		2	35	6	9	4	1	2	5	2	1	586.67219523
18712	252	1	6	6	2	12									586.67219523
18713	252	1	9		1	16									820.45632693
18713	252	1	10		2	15									820.45632693
18713	252	1	11	11	2	14									820.45632693
18713	252	1	1		1	81	99	1	2	1	2	3	4	1	820.45632693
18713	252	1	2		2	75	99	2	2	1	2	3	3	1	820.45632693
18713	252	1	3		2	51	6	3	4	1	2	4	4	1	820.45632693
18713	252	1	4		1	29	99	4	6	1	2	5	2	1	820.45632693
18713	252	1	5		2	22	6	4	2	1	1	5	1	1	820.45632693
18713	252	1	6		1	24	6	5	2	1	2	4	5	1	820.45632693
18713	252	1	7		1	4									820.45632693
18713	252	1	8		2	1									820.45632693
18714	252	1	1		2	25	6	1	4	1	2	6	7	4	679.33530701
18714	252	1	2		1	4									679.33530701
18714	252	1	3	3	2	65	7	5	4	1	2	4	2	1	679.33530701
18715	252	1	1		1	27	6	1	2	1	2	5	2	1	1004.9118647
18715	252	1	2		1	37	7	2	2	1	2	6	1	1	1004.9118647
18715	252	1	3		2	12									1004.9118647
18715	252	1	4	4	1	10									1004.9118647
18716	252	1	1		1	89	6	1	3	1	2	3	6	1	788.46851198
18716	252	1	2		2	85	6	2	3	1	2	3	6	1	788.46851198
18716	252	1	3	3	1	45	6	3	6	1	2	5	2	2	788.46851198
18717	252	1	1		2	50	6	1	2	1	1	4	5	1	688.59315225
18717	252	1	2		1	57	5	2	2	1	2	3	6	1	688.59315225
18717	252	1	3		2	25	6	3	4	1	2	5	2	1	688.59315225
18717	252	1	4		2	24	6	3	6	1	2	6	5	5	688.59315225
18717	252	1	5	5	1	19	6	3	6	1	2	5	2	1	688.59315225
18718	252	1	1		1	33	6	1	2	1	2	5	2	1	803.74528227
18718	252	1	2	2	2	35	6	2	2	1	2	5	2	1	803.74528227
18719	252	1	1		2	39	6	1	4	1	2	3	5	1	921.62182161
18719	252	1	2		1	13									921.62182161
18719	252	1	3		2	10									921.62182161
18719	252	1	4		1	7									921.62182161
18719	252	1	5	5	1	24	6	5	6	1	2	4	3	1	921.62182161
18720	252	1	1		1	36	6	1	3	1	2	6	2	1	857.14218548
18720	252	1	2		2	32	6	2	3	1	2	6	3	1	857.14218548
18720	252	1	3		1	9									857.14218548
18720	252	1	4	4	2	6									857.14218548
18721	252	1	1		1	86	7	1	2	1	2	3	6	1	711.19647865
18721	252	1	2	2	2	86	6	2	2	1	2	4	3	1	711.19647865
18722	252	1	1		1	36	6	1	2	1	2	6	3	5	857.14218548
18722	252	1	2		2	37	6	2	2	1	2	6	1	5	857.14218548
18722	252	1	3		1	7									857.14218548
18722	252	1	4	4	2	6									857.14218548
18723	252	1	1		1	21	6	1	6	1	2	6	2	1	745.52460741
18723	252	1	2		2	51	6	5	4	1	2	3	6	1	745.52460741
18723	252	1	3		2	11									745.52460741
18723	252	1	4		1	11									745.52460741
18723	252	1	5	5	2	80	99	5	5	1	2	3	6	1	745.52460741
18724	252	1	1		1	64	6	1	3	1	2	4	3	1	694.09573592
18724	252	1	2		2	64	6	2	3	1	2	4	5	1	694.09573592
18724	252	1	3		2	35	7	3	4	1	2	5	2	1	694.09573592
18724	252	1	4		2	8									694.09573592
18724	252	1	5	5	1	5									694.09573592
18727	252	1	1	1	1	62	5	1	4	1	2	4	3	5	822.81405671
18728	252	1	1		2	72	5	1	4	1	2	3	6	1	917.1694168
