DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
18700	252	1	1	1	2		1001.57951328302
18700	252	1	2	1	1	800000	1001.57951328302
18701	252	1	1	1	1	950000	855.868106556221
18701	252	1	2	1	1	900000	855.868106556221
18701	252	1	4	3	1	200000	855.868106556221
18702	252	1	1	1	1	500000	954.305533453673
18702	252	1	2	1	1	900000	954.305533453673
18703	252	1	1	1	1	700000	1009.16686870591
18703	252	1	2	2	2		1009.16686870591
18704	252	1	1	4	2		1147.87772082074
18704	252	1	2	1	1	600000	1147.87772082074
18704	252	1	3	2	2		1147.87772082074
18705	252	1	1	1	1	750000	946.71817803078
18705	252	1	2	1	1	650000	946.71817803078
18706	252	1	1	1	1	700000	760.733346086601
18707	252	1	1	4	2		1001.57951328302
18707	252	1	2	1	1	680000	1001.57951328302
18708	252	1	1	1	1	650000	954.305533453673
18708	252	1	2	1	1	650000	954.305533453673
18709	252	1	1	1	1	1800000	768.320701509493
18710	252	1	1	1	1	1000000	868.224918403701
18710	252	1	2	1	2		868.224918403701
18711	252	1	1	4	2		869.934582677082
18711	252	1	2	1	1	600000	869.934582677082
18711	252	1	3	6	2		869.934582677082
18712	252	1	1	1	1	550000	586.672195226853
18712	252	1	2	1	1	700000	586.672195226853
18712	252	1	5	1	1	450000	586.672195226853
18713	252	1	1	6	1	50000	820.456326928177
18713	252	1	2	4	2		820.456326928177
18713	252	1	3	1	1	646000	820.456326928177
18713	252	1	4	1	1	750000	820.456326928177
18713	252	1	5	4	1	60000	820.456326928177
18713	252	1	6	1	1	800000	820.456326928177
18714	252	1	1	1	1	500000	679.335307010725
18714	252	1	3	4	2		679.335307010725
18715	252	1	1	1	1	520000	1004.91186473678
18715	252	1	2	1	1	230000	1004.91186473678
18716	252	1	1	4	1	645000	788.468511979589
18716	252	1	2	4	2		788.468511979589
18716	252	1	3	4	2		788.468511979589
18717	252	1	5	2	2		688.593152252546
18717	252	1	1	4	2	600000	688.593152252546
18717	252	1	2	1	1	300000	688.593152252546
18717	252	1	3	4	1	800000	688.593152252546
18717	252	1	4	1	1		688.593152252546
18718	252	1	1	1	1	500000	803.745282274007
18718	252	1	2	1	1	400000	803.745282274007
18719	252	1	1	4	2		921.621821606461
18719	252	1	5	1	1	600000	921.621821606461
18720	252	1	1	1	1	700000	857.142185476767
18720	252	1	2	1	1	644600	857.142185476767
18721	252	1	1	4	1	800000	711.19647864958
18721	252	1	2	4	2		711.19647864958
18722	252	1	1	1	1	750000	857.142185476767
18722	252	1	2	1	1	300000	857.142185476767
18723	252	1	1	1	1	1200000	745.5246074138
18723	252	1	2	4	2		745.5246074138
18723	252	1	5	4	2		745.5246074138
18724	252	1	1	6	1	1600000	694.095735922336
18724	252	1	2	4	2		694.095735922336
18724	252	1	3	3	1	640000	694.095735922336
18727	252	1	1	4	1	200000	822.814056712546
