DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
36195	252	1	1	1	1	1000000	2558.15958996719
36198	252	1	1	1	2		2524.60893702834
36198	252	1	2	4	2		2524.60893702834
36199	252	1	1	1	1	1000000	3232.07881876628
36199	252	1	2	1	1	600000	3232.07881876628
36202	252	1	1	1	1	717320	2177.11060709758
36202	252	1	2	1	1	717320	2177.11060709758
36202	252	1	3	4	2		2177.11060709758
36203	252	1	1	1	1	75000	2506.03213147112
36204	252	1	1	1	1	500000	2308.48816254443
36216	252	1	1	2	1	800000	324.551175992779
36216	252	1	2	1	1	737000	324.551175992779
36217	252	1	1	4	2		324.551175992779
36217	252	1	2	2	2		324.551175992779
36218	252	1	1	1	1	1000000	362.427670957039
36218	252	1	2	4	2		362.427670957039
36219	252	1	1	4	1	12000000	419.800708852699
36219	252	1	2	1	99		419.800708852699
36220	252	1	1	1	1	450000	1055.05747825475
36221	252	1	1	4	1	420000	787.947905315637
36222	252	1	1	1	1	600000	647.726391200591
36222	252	1	2	4	2		647.726391200591
36223	252	1	1	1	1	300000	638.80488464726
36223	252	1	2	1	1	760000	638.80488464726
36223	252	1	3	4	2		638.80488464726
36224	252	1	1	1	1	100000	792.464648698053
36224	252	1	3	4	1	200000	792.464648698053
36225	252	1	1	5	1	300000	834.625151147152
36225	252	1	2	5	1	75000	834.625151147152
36225	252	1	3	4	2		834.625151147152
36226	252	1	1	1	1	800000	729.858753791386
36227	252	1	1	1	1	745000	614.583921028781
36227	252	1	2	4	2		614.583921028781
36228	252	1	1	1	1	730000	665.316923603238
36228	252	1	2	4	2		665.316923603238
36229	252	1	1	4	1	600000	755.692129866435
36229	252	1	2	4	2		755.692129866435
36230	252	1	1	4	2		507.736933797908
36230	252	1	2	1	1	840000	507.736933797908
36230	252	1	3	1	1	737000	507.736933797908
36231	252	1	1	1	99		918.637433082151
36231	252	1	2	1	99		918.637433082151
36232	252	1	1	4	1	75000	1296.04557663648
36233	252	1	1	2	2		521.486753344254
36233	252	1	2	1	99		521.486753344254
36234	252	1	1	1	99		1296.04557663648
36235	252	1	1	1	1	737717	1299.01261763553
36235	252	1	2	1	99		1299.01261763553
36236	252	1	1	1	1	800000	885.086442713123
36236	252	1	2	4	2		885.086442713123
36237	252	1	1	4	99		1245.71909108294
36238	252	1	1	4	2		861.531688516409
36238	252	1	2	3	2		861.531688516409
36238	252	1	6	1	1	737000	861.531688516409
36238	252	1	7	1	1	737000	861.531688516409
36239	252	1	1	4	2		973.268288945821
36239	252	1	2	1	1	800000	973.268288945821
36240	252	1	1	4	2		1081.97628890057
36240	252	1	2	1	1	250000	1081.97628890057
36241	252	1	1	1	99		1634.21518253987
36241	252	1	2	4	2		1634.21518253987
36241	252	1	3	2	99		1634.21518253987
36242	252	1	1	1	1	737000	878.307183700923
36242	252	1	2	1	1	737000	878.307183700923
36242	252	1	3	1	1	800000	878.307183700923
36242	252	1	4	4	2		878.307183700923
36243	252	1	1	1	99		1718.386660697
36243	252	1	2	1	99		1718.386660697
36243	252	1	3	5	2		1718.386660697
36244	252	1	1	1	1	800000	991.919113399102
36244	252	1	2	3	2		991.919113399102
36245	252	1	1	1	1	800000	866.925233563756
36246	252	1	1	1	1	200000	775.504843485834
36247	252	1	1	1	1	400000	775.504843485834
36248	252	1	1	5	2		491.32275153556
36248	252	1	2	4	2		491.32275153556
36248	252	1	3	1	1	1000000	491.32275153556
36249	252	1	1	1	1	8000000	975.514221657732
36249	252	1	2	5	2		975.514221657732
36249	252	1	3	1	1	750000	975.514221657732
36249	252	1	4	1	1	750000	975.514221657732
36250	252	1	1	4	1	200000	961.230520594342
36251	252	1	1	1	1	300000	1052.32169475979
36251	252	1	2	1	1	600000	1052.32169475979
36252	252	1	1	4	2		491.32275153556
36252	252	1	2	1	1	3000000	491.32275153556
36252	252	1	3	1	1	150000	491.32275153556
36253	252	1	1	1	1	2000000	1092.52717876753
36253	252	1	2	5	2		1092.52717876753
36253	252	1	3	4	2		1092.52717876753
36253	252	1	4	2	2		1092.52717876753
36254	252	1	1	1	1	360000	831.860805801078
36254	252	1	3	1	1	200000	831.860805801078
36255	252	1	1	5	1	200000	775.504843485834
36256	252	1	1	1	1	800000	1111.79883214811
36256	252	1	2	2	2		1111.79883214811
36257	252	1	1	1	1	250000	775.504843485834
36258	252	1	1	4	1	350000	762.563983358831
36259	252	1	1	1	1	800000	897.707451638164
36259	252	1	2	4	2		897.707451638164
36259	252	1	3	3	2		897.707451638164
36260	252	1	1	1	1	737717	1985.18917656119
36260	252	1	2	4	2		1985.18917656119
36260	252	2	1	1	1	717717	1985.18917656119
36260	252	2	2	4	2		1985.18917656119
36261	252	1	1	1	1	500000	657.403703703699
36261	252	1	2	1	1	500000	657.403703703699
36261	252	1	3	3	2		657.403703703699
36262	252	1	1	4	1	1800000	657.403703703699
36263	252	1	1	1	1	737717	1512.94632768219
36263	252	1	2	4	2		1512.94632768219
36263	252	1	3	1	1	1500000	1512.94632768219
36263	252	1	4	4	2		1512.94632768219
36264	252	1	1	1	1	717717	1842.14296642209
36264	252	1	2	1	1	300000	1842.14296642209
36266	252	1	1	1	1	500000	657.403703703699
36266	252	1	2	1	1	717717	657.403703703699
36273	252	1	1	3	2		985.945968865778
36274	252	1	1	3	2		985.945968865778
36275	252	1	1	3	1	500000	928.03400439212
