DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6008	P220	P1069	P1069S1	P5785	P5465	P6050	P605	P6160	P8586	P6210	P6210S1	P6945	FEX_P
36195	252	1	1		2	1	3/07/1990	26	6	1	1	1	2	6	7	2	2558.15958996719
36195	252	1	2	2	2	1	21/02/2012	5									2558.15958996719
36198	252	1	1		1	1	6/04/1958	59	6	1	3	2	2	1		1	2524.60893702834
36198	252	1	2		2	1	28/05/1963	53	6	2	3	1	2	3	3	1	2524.60893702834
36198	252	1	3	3	2	1	13/07/2002	14									2524.60893702834
36199	252	1	1		1	1	2/10/1975	41	5	1	1	1	2	5	2	1	3232.07881876628
36199	252	1	2		2	1	9/02/1984	33	5	2	1	1	2	5	2	1	3232.07881876628
36199	252	1	3		1	1	6/03/2005	12									3232.07881876628
36199	252	1	4	4	1	1	21/09/2014	2									3232.07881876628
36202	252	1	1		2	1	19/03/1962	55	6	1	4	1	2	5	2	1	2177.11060709758
36202	252	1	2		1	1	3/03/1985	32	6	3	6	1	2	6	4	1	2177.11060709758
36202	252	1	3	3	1	1	7/06/1988	28	6	3	6	1	2	5	2	1	2177.11060709758
36203	252	1	1	1	2	1	16/05/1945	71	6	1	5	1	2	3	3	1	2506.03213147112
36204	252	1	1	1	1	1	6/07/1986	30	6	1	6	1	1	5	2	1	2308.48816254443
36216	252	1	1		1	1	26/12/1953	63	6	1	3	1	1	6	3	1	324.551175992779
36216	252	1	2	2	2	1	26/01/1956	61	6	2	3	1	2	6	2	1	324.551175992779
36217	252	1	1		2	1	7/02/1952	65	6	1	3	1	2	5	2	1	324.551175992779
36217	252	1	2	2	1	1	12/02/1957	60	6	5	6	1	2	6	8	11	324.551175992779
36218	252	1	1		1	1	17/10/1968	48	6	1	2	1	2	5	2	1	362.427670957039
36218	252	1	2		2	2		35	6	2	2	1	2	5	2	1	362.427670957039
36218	252	1	3		1	1	6/08/2005	11									362.427670957039
36218	252	1	4	4	1	1	22/02/2017	0									362.427670957039
36219	252	1	1		2	1	12/05/1946	70	6	1	4	1	2	7	3	1	419.800708852699
36219	252	1	2	2	1	2		34	6	3	6	1	2	6	7	1	419.800708852699
36220	252	1	1	1	1	1	11/06/1959	57	6	1	6	1	2	3	3	1	1055.05747825475
36221	252	1	1		2	1	16/08/1981	35	6	1	4	1	1	4	3	1	787.947905315637
36221	252	1	2		1	1	12/12/2008	8									787.947905315637
36221	252	1	3	3	1	1	25/04/2014	2									787.947905315637
36222	252	1	1		1	1	18/05/1953	63	6	1	3	1	2	3	3	2	647.726391200591
