DIRECTORIO	REGION	P4090	P4000	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	P70	FEX_P
36195	4	1	1	1	1	2	1	1	2	1	1	2558.15958996719
36198	4	1	1	1	2	1	1	1	2	1	1	2524.60893702834
36199	4	1	1	1	2	1	1	1	2	1	1	3232.07881876628
36202	4	1	1	1	2	1	1	1	2	1	1	2177.11060709758
36203	4	1	2	1	2	2	1	1	2	1	1	2506.03213147112
36204	4	1	2	1	2	2	1	1	2	1	1	2308.48816254443
36216	3	1	1	1	3	2	1	1	3	1	1	324.551175992779
36217	3	1	1	1	3	1	1	1	3	1	1	324.551175992779
36218	3	1	1	1	3	2	1	1	2	1	1	362.427670957039
36219	3	1	1	1	3	1	1	1	3	1	1	419.800708852699
36220	4	1	2	1	1	1	1	1	2	1	1	1055.05747825475
36221	4	1	2	1	1	1	1	1	3	1	1	787.947905315637
36222	4	1	1	1	1	1	1	1	2	1	1	647.726391200591
36223	4	1	2	1	2	1	1	1	2	1	1	638.80488464726
36224	4	1	1	1	2	1	1	1	3	1	1	792.464648698053
36225	4	1	1	1	2	1	1	1	3	1	1	834.625151147152
36226	3	1	1	1	1	2	2	1	1	1	1	729.858753791386
36227	3	1	1	1	1	2	1	1	1	1	1	614.583921028781
36228	3	1	2	1	2	2	1	1	2	1	1	665.316923603238
36229	3	1	1	1	1	2	1	1	1	1	1	755.692129866435
36230	4	1	1	1	2	1	1	1	3	1	1	507.736933797908
36231	4	1	1	1	2	1	1	1	3	1	1	918.637433082151
36232	4	1	1	1	2	1	1	1	3	1	1	1296.04557663648
36233	4	1	1	1	2	1	1	1	3	1	1	521.486753344254
36234	4	1	1	1	2	1	1	1	3	1	1	1296.04557663648
36235	4	1	1	1	2	1	1	1	3	1	1	1299.01261763553
36236	4	1	1	1	2	1	1	1	3	1	1	885.086442713123
36237	4	1	1	1	2	1	1	1	3	1	1	1245.71909108294
36238	4	1	2	1	2	1	1	1	3	1	1	861.531688516409
36239	4	1	1	1	2	1	1	1	3	1	1	973.268288945821
36240	4	1	1	1	2	1	1	1	3	1	1	1081.97628890057
36241	4	1	1	1	2	2	1	1	3	1	1	1634.21518253987
36242	4	1	1	1	2	1	1	1	3	1	1	878.307183700923
36243	4	1	1	1	2	1	1	1	3	1	1	1718.386660697
36244	4	1	2	1	2	1	1	1	3	1	1	991.919113399102
36245	4	1	2	1	2	1	1	1	3	1	1	866.925233563756
36246	4	1	3	1	3	2	1	1	3	1	1	775.504843485834
36247	4	1	3	1	3	2	1	1	3	1	1	775.504843485834
36248	4	1	2	1	3	1	1	1	3	1	1	491.32275153556
