predictor;coeficiente
FARC;1.163941405
P6065;1.155195239
P6063;0.910622191
P60507;0.898506664
(Intercept);0.539106076
P5172;0.462295101
P6066;0.461328665
P5368S64;0.455785215
P6062;0.451076741
P5334S32;0.423818516
P60506;0.397345399
P53232;0.336252423
P6064;0.323627459
P60505;0.24010259
P60509;0.24003784
P5368S24;0.221109306
P5322S33;-0.258615967
P5368S23;-0.276599632
P62105;-0.324836481
P5368S62;-0.357634645
P5322S34;-0.461967276
P5322S35;-0.464047146
P60508;-0.505880823
P6936S72;-0.524029767
P4031S1A16;-0.591921505
P62102;-0.761885356
P62106;-0.793045642
P4031S1A19;-0.876447452
P62107;-1.21186905
ELN;-1.983572015
