Variables;Overall
P5172;100
P6063;52.07555483
P53232;39.55007636
FARC;29.51578519
P62106;26.61855307
P5334S32;22.02237908
P5368S63;20.63547304
ELN;18.48355631
P6065;16.59829198
P62107;15.42865436
P60503;14.77748837
P5368S62;12.44663438
P6062;11.90080782
P60505;11.32503517
P5368S64;11.24165245
P62104;9.735703453
P62105;9.502397763
P60502;8.572229926
P60504;5.904610359
P6064;5.830781706
P62103;5.518283704
P6936S72;3.302369218
P6066;3.237811163
P60509;1.924577149
P621099;1.223317437
P60506;1.028868373
P60507;0.506765441
P62102;0.401103581
P60508;0
