Variable;Overall
P5785;100
P5322S1;25.22936
P5328;24.80678163
P5172;22.14046116
P5339S1;17.97124351
P5321S7;13.67631797
P5321S8;9.205342795
P62106;7.702853455
ELN;7.310735872
P5368S64;5.954982888
AUC;5.184546978
P5465;5.152718632
P5368S24;5.014581041
P203;4.358395939
P53232;4.347071003
P5263S2;4.049122562
P5263S14;4.047709553
P5374;3.764290094
P5263S10;3.582160954
P6065;2.924865365
P62107;2.760237766
P5334S32;2.41812441
P60503;2.230266486
P6064;2.118471615
P60502;2.03853713
P5322S2;1.939974224
P5322S43;1.870625385
P2202;1.662255979
P6939S64;1.660790563
P4031S1A14;1.638552001
InscripcionCedulas;1.633068488
P4031S1A11;1.581558857
P5389S102;1.524083367
P60505;1.509720176
P5322S33;1.485299262
P6936S42;1.479175063
P5368S62;1.438377129
P5322S35;1.414274384
P5322S32;1.216044541
P5322S34;1.169595315
P61602;1.15006144
P62103;1.119803698
P5334S22;1.111569673
P6939S62;1.068618818
P62104;1.059458973
P6939S65;1.032344549
P4031S1A13;1.031439841
P62105;1.015200855
P5322S45;0.956560111
P4031S1A15;0.86669979
P4031S1A12;0.850408025
P6062;0.716326532
P6936S72;0.706076938
P6939S63;0.674458036
P5368S63;0.668845926
FARC;0.649118194
P6936S62;0.633891711
P6936S12;0.609901853
P6066;0.609237821
P6936S22;0.553303937
P5322S44;0.530974904
P5322S42;0.509990826
P6936S52;0.509069569
P5334S42;0.460203928
P4031S1A16;0.45474665
P6939S699;0.447240334
P6063;0.444193013
P60504;0.417786522
P5368S22;0.406939461
P5334S72;0.353118943
P5368S23;0.340330516
P5322S499;0.325293978
P4031S1A19;0.17797602
P60508;0.174559799
P621099;0.148313091
P60506;0.113750021
P62102;0.0634815
P60507;0.041388405
P60509;0.037979356
P5322S399;0
P6936S32;0
